               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.066411,            0.026034,                   0,             0.29877,             0.67393,             0.30857,            0.083916,            0.039294,            0.016101,                   0,            0.070132,           0.0033187,           0.0033187
                   1,            0.044693,            0.014729,                   0,             0.65038,             0.95486,              0.7386,             0.29901,            0.029674,            0.010989,                   0,            0.039473,           0.0059935,           0.0059935
                   2,            0.036579,            0.011205,                   0,              0.9953,             0.98874,             0.98588,             0.40225,            0.034228,           0.0083965,                   0,           0.0081545,           0.0080083,           0.0080083
                   3,            0.028438,           0.0086571,                   0,                   1,             0.98724,             0.99499,             0.59667,            0.020923,           0.0078922,                   0,             0.00703,             0.00703,             0.00703
                   4,            0.024876,           0.0074881,                   0,             0.99786,              0.9675,             0.97748,             0.64638,            0.021058,           0.0073424,                   0,             0.00703,             0.00703,             0.00703
                   5,            0.020873,           0.0067033,                   0,                   1,             0.96928,             0.98448,             0.71416,            0.016704,           0.0064285,                   0,             0.00604,             0.00604,             0.00604
                   6,            0.018398,           0.0062709,                   0,                   1,             0.96807,              0.9856,             0.69777,            0.017472,           0.0066625,                   0,             0.00505,             0.00505,             0.00505
                   7,            0.016236,           0.0058816,                   0,             0.99973,              0.9713,             0.99478,             0.69505,            0.015952,           0.0070157,                   0,             0.00406,             0.00406,             0.00406
                   8,            0.014305,           0.0055056,                   0,                   1,              0.9683,             0.98654,             0.71694,            0.014766,           0.0071669,                   0,             0.00307,             0.00307,             0.00307
                   9,            0.012696,           0.0052184,                   0,             0.99946,             0.96843,              0.9854,             0.78049,            0.013517,           0.0065963,                   0,             0.00208,             0.00208,             0.00208
